M,Hand,4,3,3,4,3,3,"From time to time, he had difficulty following the flow of experiments."
M,Hand,4,4,4,4,4,4,"He was often able to solve the difficulties, he encountered on his own."
F,Hand,4,3,4,3,3,3,No problem was experienced. It was a successful simulation.
F,Hand,3,3,3,3,2,3,Had some difficulty in interaction with the experiments.
F,Hand,4,3,4,4,3,4,Was successful and comfortable.
M,Hand,2,3,3,4,3,3,Very successful in solving experiments on his own.
M,Hand,4,4,4,4,4,4,High level of interest and interaction.
F,Hand,4,4,4,4,4,4,There was an adjustment period to the glasses at first.
M,Hand,3,4,4,4,4,4,Later he was able to use the device better.
F,Hand,4,4,3,4,3,3,Finished experiments without assistance.
M,Hand,4,2,4,4,2,3,No problem was experienced.
M,Hand,4,3,4,4,4,3,No problem was experienced.
M,Hand,3,3,3,3,3,3,Had difficulty pressing buttons when using hand.
M,Hand,3,2,4,4,3,3,No problem was experienced.
F,Hand,4,4,4,4,4,4,No problem was experienced.
M,Hand,3,3,4,4,3,4,Could not identify the planets.
F,Hand,4,4,3,4,4,4,Did not pay attention to his actions.
F,Hand,2,2,4,4,2,2,Experienced accidental clicking problems.
M,Hand,4,4,4,4,4,4,No problem was experienced.
F,Hand,2,2,4,4,2,2,No problem was experienced.
F,Hand,3,2,2,2,3,2,Had a lot of fun.
F,Hand,3,3,3,3,3,3,No problem was experienced.
F,Hand,4,4,3,4,4,4,No problem was experienced.
F,Hand,1,2,4,4,3,3,Had too many problems when doing drag and drop with hand.
M,Hand,3,4,3,4,4,3,No problem was experienced.
M,Hand,3,4,4,4,3,4,No problem was experienced.
M,Hand,1,3,4,4,2,3,A bit shy but enjoyed it.
F,Controller,3,3,4,4,4,4,Immediately figured out how the controller worked.
F,Controller,3,3,3,3,2,3,Controller control was quite fast.
F,Controller,4,4,4,4,4,4,Very interested in experiments and wants to complete them.
M,Controller,4,4,4,4,4,4,Completed experiments without difficulty.
M,Controller,4,4,4,4,4,4,"Successful with controller usage, high interest/interaction."
M,Controller,4,4,4,4,4,4,Grasped the device instantly and easily.
M,Controller,3,4,3,3,3,3,Controller and interaction was quite good.
M,Controller,4,4,4,4,4,4,Understood without needing help.
M,Controller,4,4,4,4,4,4,High interest and interaction.
M,Controller,4,4,4,4,4,4,Successful in using the controller.
F,Controller,2,3,4,4,3,3,Successfully completed experiments without difficulty.
F,Controller,4,4,4,4,4,4,Instantly grasped the device and learned how to use it on his own.
F,Controller,2,2,4,4,3,3,Completed the first experiment in a short time.
M,Controller,4,4,4,4,4,4,Experienced some difficulties regarding the use of the controller.
M,Controller,2,2,4,4,2,2,High level of interest and interaction.
F,Controller,3,4,4,4,4,4,No problem was experienced.
M,Controller,4,4,4,4,4,4,There was an adjustment period to the controller at first.
F,Controller,2,3,3,3,3,4,The student wanted all subjects to be supported with VR simulations.
M,Controller,4,4,4,4,4,4,No problem was experienced.
F,Controller,3,3,4,4,3,3,Easily distracted.
F,Controller,4,4,3,3,4,4,Exhibited behaviors outside the purpose of the simulation.
F,Controller,3,3,2,3,3,3,No problem was experienced.
M,Controller,3,3,4,4,2,3,Was able to do experiments without help.
M,Controller,3,3,4,4,3,3,No problem was experienced.
M,Controller,4,4,4,4,4,4,Was able to do without help.
M,Controller,3,3,4,4,3,3,Had problems while placing the bulbs.
F,Controller,1,3,4,4,2,3,Did not particularly like the controller.
